Warehouse_block,Mode_of_Shipment,Product_importance,Weight_in_gms,Cost_of_the_Product,Discount_offered,Reached.on.Time_Y.N
C,Road,low,2370,262,26,1
F,Road,medium,2952,224,9,1
D,Road,medium,1213,130,42,1
F,Road,low,1379,133,57,1
A,Road,low,1751,145,58,1
B,Road,low,1213,136,53,1
C,Road,low,1658,163,24,1
F,Road,low,2181,183,45,1
D,Road,medium,2434,216,1,1
F,Road,medium,2005,182,28,1
A,Road,low,2392,191,19,1
B,Road,high,1401,140,7,1
C,Road,high,1165,161,59,1
F,Road,low,2747,200,43,1
D,Road,medium,1891,176,36,1
F,Flight,low,3645,247,32,1
A,Flight,low,3287,262,15,1
B,Flight,low,1532,154,49,1
C,Flight,medium,3800,186,11,1
F,Flight,low,1806,98,29,1
D,Flight,low,3872,268,33,1
F,Flight,medium,1830,178,60,1
A,Flight,high,1428,142,18,1
B,Flight,low,1837,160,33,1
C,Flight,medium,2174,232,24,1
F,Flight,low,2533,209,23,1
D,Flight,medium,3602,230,33,1
F,Flight,low,2074,223,40,1
A,Flight,high,2644,201,7,1
B,Flight,medium,2937,224,20,1
C,Flight,low,3351,251,2,1
F,Flight,medium,1949,145,57,1
D,Flight,medium,2563,271,16,1
F,Flight,medium,3048,218,60,1
A,Flight,low,2628,229,51,1
B,Flight,low,2493,278,17,1
C,Flight,low,1886,168,15,1
F,Ship,medium,1920,151,12,1
D,Ship,low,2958,232,9,1
F,Ship,low,1685,140,16,1
A,Ship,low,1619,141,34,1
B,Ship,medium,3398,182,23,1
C,Ship,low,1977,139,52,1
F,Ship,medium,1818,145,22,1
D,Ship,medium,1911,140,11,1
F,Ship,medium,3589,267,62,1
A,Ship,high,2069,191,60,1
B,Ship,medium,1401,133,52,1
C,Ship,low,1446,170,1,1
F,Ship,low,1533,170,57,1
D,Ship,medium,1636,149,21,1
F,Ship,medium,3933,279,1,1
A,Ship,medium,1906,121,11,1
B,Ship,low,1767,139,63,1
C,Ship,high,2493,265,64,1
F,Ship,medium,2472,239,24,1
D,Ship,medium,1841,119,5,1
F,Ship,low,3896,265,30,1
A,Ship,medium,1009,144,35,1
B,Ship,low,1537,148,58,1
C,Ship,medium,2770,269,38,1
F,Ship,medium,3191,188,51,1
D,Ship,high,3725,187,8,1
F,Ship,high,1601,168,65,1
A,Ship,low,3371,199,46,1
B,Ship,low,2802,261,10,1
C,Ship,low,2304,218,4,1
F,Ship,low,2911,196,64,1
D,Ship,medium,1469,147,46,1
F,Ship,high,2777,208,17,1
A,Ship,low,1242,178,15,1
B,Ship,medium,3080,197,20,1
C,Ship,low,3955,206,30,1
F,Ship,medium,3158,222,45,1
D,Ship,medium,3461,247,55,1
F,Ship,medium,2582,222,25,1
A,Ship,low,3213,205,14,1
B,Ship,low,3571,244,8,1
C,Ship,medium,3770,194,39,1
F,Ship,low,3548,190,36,1
D,Ship,low,1242,169,17,1
F,Ship,low,3443,251,5,1
A,Ship,medium,1642,161,1,1
B,Ship,low,2353,252,29,1
C,Ship,low,2693,271,19,1
F,Ship,medium,1187,150,21,1
D,Ship,high,2069,212,6,1
F,Ship,high,3407,198,65,1
A,Ship,high,3798,266,33,1
B,Ship,low,2266,255,12,1
C,Ship,high,1453,166,3,1
F,Ship,low,2139,232,39,1
D,Ship,medium,3015,198,62,1
F,Ship,low,1588,170,21,1
A,Ship,low,1014,162,16,1
B,Ship,low,1378,135,22,1
C,Ship,medium,3753,242,19,1
F,Ship,medium,2247,206,20,1
D,Ship,medium,2627,253,59,1
F,Ship,medium,3884,208,35,1
A,Ship,low,3463,250,33,1
B,Ship,medium,1996,143,3,1
C,Ship,medium,3365,236,62,1
F,Ship,low,1145,147,13,1
D,Ship,low,1638,113,43,1
F,Ship,high,1190,165,54,1
A,Ship,low,2066,235,22,1
B,Ship,low,3521,186,42,1
C,Ship,medium,2949,274,29,1
F,Ship,medium,1079,163,37,1
D,Ship,low,1386,161,6,1
F,Ship,low,2336,264,35,1
A,Ship,medium,3459,255,42,1
B,Ship,medium,3928,258,3,1
C,Ship,medium,2103,261,39,1
F,Ship,medium,3637,188,3,1
D,Ship,high,3072,188,11,1
F,Ship,medium,1548,160,25,1
A,Ship,low,3503,214,26,1
B,Ship,medium,3345,209,46,1
C,Ship,high,2193,208,8,1
F,Ship,low,2557,265,47,1
D,Ship,high,1992,161,41,1
F,Ship,high,3067,217,61,1
A,Ship,low,2444,210,52,1
B,Ship,low,1808,179,60,1
C,Ship,medium,1165,180,55,1
F,Ship,low,1972,153,12,1
D,Ship,low,1714,162,2,1
F,Ship,low,1898,135,27,1
A,Road,medium,2268,242,3,1
B,Road,medium,2804,206,33,1
C,Road,medium,2486,253,12,1
F,Road,medium,3442,208,8,1
D,Road,low,3798,250,49,1
F,Road,medium,1360,143,20,1
A,Road,medium,3589,236,7,1
B,Road,low,1956,147,15,1
C,Road,low,1957,113,9,1
F,Road,high,1482,165,46,1
D,Road,low,2020,235,50,1
F,Road,low,3722,186,45,1
A,Road,medium,3910,274,5,1
B,Road,medium,1547,163,35,1
C,Road,low,1819,161,22,1
F,Road,low,2436,264,8,1
D,Road,medium,2894,255,3,1
F,Road,medium,2428,258,53,1
A,Road,medium,3308,261,1,1
B,Road,medium,2466,188,48,1
C,Road,high,3206,188,9,1
F,Road,medium,1952,160,29,1
D,Flight,low,2720,214,50,1
F,Flight,medium,2948,209,59,1
A,Flight,high,2674,208,65,1
B,Flight,low,2249,265,50,1
C,Flight,high,1075,161,21,1
F,Flight,high,2600,217,21,1
D,Flight,low,2741,210,35,1
F,Flight,low,1765,179,62,1
A,Flight,medium,1329,180,52,1
B,Flight,medium,1936,158,55,1
C,Flight,medium,1682,291,53,1
F,Flight,medium,3894,231,55,1
D,Flight,low,1470,163,49,1
F,Flight,low,1204,146,41,1
A,Flight,low,3638,272,24,1
B,Flight,medium,1839,121,18,1
C,Flight,low,1014,118,40,1
F,Flight,low,1638,173,14,1
D,Flight,low,2686,243,23,1
F,Flight,medium,2505,229,29,1
A,Flight,medium,1655,96,12,1
B,Flight,medium,3558,249,55,1
C,Ship,low,1966,165,24,1
F,Ship,medium,2427,223,63,1
D,Ship,low,2949,267,52,1
F,Ship,low,1831,140,47,1
A,Ship,low,2075,209,44,1
B,Ship,medium,3189,243,4,1
C,Ship,medium,1276,175,17,1
F,Ship,low,1051,133,9,1
D,Ship,medium,1111,167,24,1
F,Ship,high,1052,172,50,1
A,Ship,low,2257,257,55,1
B,Ship,medium,3857,202,39,1
C,Ship,medium,3942,223,31,1
F,Ship,low,2592,182,40,1
D,Ship,medium,2789,234,33,1
F,Ship,low,1035,140,30,1
A,Ship,medium,1548,136,9,1
B,Ship,medium,2568,210,6,1
C,Ship,high,3023,259,37,1
F,Ship,medium,1012,141,52,1
D,Ship,medium,1583,151,13,1
F,Ship,medium,1423,164,43,1
A,Ship,medium,1758,141,48,1
B,Ship,medium,3542,271,15,1
C,Ship,low,2544,191,15,1
F,Ship,medium,3266,181,22,1
D,Ship,low,2182,241,8,1
F,Ship,medium,2837,254,3,1
A,Ship,medium,1162,146,62,1
B,Ship,high,2744,271,46,1
C,Ship,medium,2803,185,42,1
F,Ship,low,1138,170,9,1
D,Ship,medium,3327,265,18,1
F,Ship,low,1777,142,8,1
A,Ship,low,3024,228,49,1
B,Ship,low,2871,262,16,1
C,Ship,medium,2427,205,54,1
F,Ship,high,1362,178,39,1
D,Ship,low,1130,153,46,1
F,Ship,low,3447,186,63,1
A,Ship,high,1403,167,22,1
B,Ship,low,1950,148,42,1
C,Ship,low,1010,167,2,1
F,Ship,medium,2488,261,45,1
D,Ship,medium,1095,166,43,1
F,Ship,low,2319,226,18,1
A,Ship,low,2003,260,21,1
B,Ship,medium,3993,246,44,1
C,Ship,low,3686,221,21,1
F,Ship,medium,2039,191,63,1
D,Ship,medium,1349,138,8,1
F,Ship,medium,1714,146,16,1
A,Ship,medium,3188,193,11,1
B,Ship,medium,3111,229,12,1
C,Ship,high,2504,239,16,1
F,Ship,medium,1093,103,37,1
D,Ship,low,2039,254,36,1
F,Ship,low,3686,198,11,1
A,Ship,medium,3783,208,61,1
B,Ship,medium,2205,253,17,1
C,Ship,high,2336,261,47,1
F,Ship,medium,1253,156,49,1
D,Ship,low,1598,97,26,1
F,Ship,low,2546,275,41,1
A,Ship,high,2429,189,48,1
B,Ship,medium,3290,236,28,1
C,Ship,medium,1883,170,60,1
F,Ship,low,2673,251,53,1
D,Ship,medium,2187,205,58,1
F,Ship,medium,1744,135,53,1
A,Ship,medium,2177,231,24,1
B,Ship,medium,2941,257,56,1
C,Ship,high,1233,162,57,1
F,Ship,high,2573,237,63,1
D,Ship,medium,1887,134,53,1
F,Ship,medium,1119,163,24,1
A,Ship,medium,2019,264,27,1
B,Ship,low,1674,173,21,1
C,Ship,low,2586,191,58,1
F,Ship,medium,1385,152,5,1
D,Ship,low,2048,272,23,1
F,Ship,low,3368,198,60,1
A,Ship,medium,3668,260,40,1
B,Ship,medium,1478,158,43,1
C,Ship,medium,3729,252,63,1
F,Ship,low,2470,199,64,1
D,Ship,low,2307,272,62,1
F,Ship,low,2215,209,37,1
A,Ship,low,1657,147,13,1
B,Ship,low,1759,166,63,1
C,Ship,low,1706,165,48,1
F,Ship,medium,1715,162,57,1
D,Ship,medium,3764,255,23,1
F,Road,low,1437,179,38,1
A,Road,high,3207,250,61,1
B,Road,low,3936,251,28,1
C,Road,low,2270,198,5,1
F,Road,medium,1053,148,34,1
D,Road,medium,2758,268,3,1
F,Road,low,3673,239,47,1
A,Road,medium,2021,195,10,1
B,Road,medium,2658,252,51,1
C,Road,medium,3780,272,48,1
F,Road,medium,1628,141,27,1
D,Road,low,3624,224,45,1
F,Road,low,3251,270,56,1
A,Road,medium,2639,236,6,1
B,Road,medium,3512,227,47,1
C,Road,low,2424,262,7,1
F,Road,low,2257,228,45,1
D,Road,low,1909,176,23,1
F,Road,medium,1873,147,44,1
A,Road,medium,2085,196,44,1
B,Road,medium,1249,112,41,1
C,Road,medium,3065,221,54,1
F,Flight,medium,1312,154,46,1
D,Flight,low,2976,200,19,1
F,Flight,medium,3807,216,57,1
A,Flight,medium,3051,185,3,1
B,Flight,low,2994,199,23,1
C,Flight,low,2892,265,12,1
F,Flight,low,2113,263,57,1
D,Flight,low,2815,181,28,1
F,Flight,low,1092,163,12,1
A,Flight,medium,3962,260,23,1
B,Flight,medium,1247,159,22,1
C,Flight,medium,3043,227,54,1
F,Flight,medium,1936,104,41,1
D,Flight,low,3067,188,49,1
F,Flight,high,3536,202,41,1
A,Flight,low,2424,213,17,1
B,Flight,low,3332,211,45,1
C,Flight,medium,2484,232,61,1
F,Flight,high,1727,143,39,1
D,Flight,medium,2957,196,24,1
F,Flight,medium,1070,150,42,1
A,Flight,high,2351,222,21,1
B,Ship,high,2791,203,3,1
C,Ship,medium,1176,178,60,1
F,Ship,low,3271,272,21,1
D,Ship,low,3943,182,58,1
F,Ship,low,2255,205,11,1
A,Ship,medium,1282,171,11,1
B,Ship,low,1993,172,48,1
C,Ship,medium,3928,210,30,1
F,Ship,medium,3409,264,10,1
D,Ship,low,2399,181,46,1
F,Ship,medium,2919,240,54,1
A,Ship,medium,1442,140,46,1
B,Ship,medium,2686,283,35,1
C,Ship,medium,2960,263,23,1
F,Ship,high,1234,136,35,1
D,Ship,low,1210,145,35,1
F,Ship,low,1763,162,42,1
A,Ship,low,2067,230,60,1
B,Ship,medium,1452,148,61,1
C,Ship,high,1212,175,45,1
F,Ship,high,3583,227,35,1
D,Ship,low,1569,177,13,1
F,Ship,medium,3416,257,60,1
A,Ship,medium,2803,198,36,1
B,Ship,medium,3651,251,59,1
C,Ship,medium,1246,158,47,1
F,Ship,medium,1840,171,27,1
D,Ship,low,2980,260,2,1
F,Ship,low,2992,263,42,1
A,Ship,high,2300,269,43,1
B,Ship,low,3220,224,37,1
C,Ship,low,1413,118,50,1
F,Ship,low,2529,186,64,1
D,Ship,high,2708,191,34,1
F,Ship,medium,1184,174,26,1
A,Ship,medium,1339,140,55,1
B,Ship,high,2371,193,48,1
C,Ship,high,1779,148,12,1
F,Ship,low,1211,176,55,1
D,Ship,medium,1989,135,35,1
F,Ship,medium,1990,154,48,1
A,Ship,low,1756,143,44,1
B,Ship,low,1179,173,10,1
C,Ship,medium,3139,262,38,1
F,Ship,low,1516,171,58,1
D,Ship,low,2387,246,55,1
F,Ship,high,2779,266,55,1
A,Ship,low,1411,127,39,1
B,Ship,low,1921,167,28,1
C,Ship,medium,2200,187,37,1
F,Ship,low,1614,162,54,1
D,Ship,low,3604,230,10,1
F,Ship,medium,1540,148,50,1
A,Ship,high,1229,175,55,1
B,Ship,high,3080,227,60,1
C,Ship,low,1767,177,38,1
F,Ship,medium,2239,257,37,1
D,Ship,medium,3187,198,49,1
F,Ship,medium,2240,251,18,1
A,Ship,medium,1499,158,16,1
B,Ship,medium,1909,171,9,1
C,Ship,low,2526,260,38,1
F,Ship,low,3689,263,25,1
D,Ship,high,4000,269,47,1
F,Ship,low,3749,224,49,1
A,Ship,low,1601,118,15,1
B,Ship,low,3621,186,24,1
C,Ship,high,2059,191,6,1
F,Ship,medium,1635,174,44,1
D,Ship,medium,1847,140,55,1
F,Ship,high,3510,193,37,1
A,Ship,high,1597,148,35,1
B,Ship,low,1254,176,29,1
C,Ship,medium,1361,135,57,1
F,Ship,medium,1204,154,14,1
D,Ship,low,1095,143,38,1
F,Ship,low,1336,173,30,1
A,Ship,medium,2904,262,46,1
B,Ship,low,1683,171,21,1
C,Ship,low,2282,246,11,1
F,Ship,high,2643,266,49,1
D,Ship,low,1519,127,12,1
F,Ship,low,1547,167,44,1
A,Ship,medium,3225,187,49,1
B,Ship,low,1625,294,35,1
C,Ship,low,1785,158,13,1
F,Ship,low,1078,135,55,1
D,Ship,low,1915,238,28,1
F,Ship,low,1548,213,63,1
A,Ship,medium,1495,237,21,1
B,Ship,low,1308,257,47,1
C,Ship,low,1994,198,65,1
F,Ship,medium,3425,218,48,1
D,Road,low,2280,236,65,1
F,Road,low,1129,100,17,1
A,Road,low,1994,154,44,1
B,Road,low,3832,238,32,1
C,Road,low,1008,128,34,1
F,Road,medium,1431,140,9,1
D,Road,low,3878,187,50,1
F,Road,low,3155,256,15,1
A,Road,low,2397,270,18,1
B,Road,low,3008,202,45,1
C,Road,low,2971,256,62,1
F,Road,medium,1597,135,37,1
D,Road,medium,2306,184,8,1
F,Road,medium,1922,169,23,1
A,Road,medium,1079,178,48,1
B,Road,medium,3101,265,41,1
C,Road,medium,2138,217,22,1
F,Road,medium,2791,258,11,1
D,Road,medium,2069,218,9,1
F,Road,medium,1316,135,7,1
A,Road,medium,1053,150,61,1
B,Road,medium,2942,200,49,1
C,Flight,high,1592,136,12,1
F,Flight,low,1791,119,32,1
D,Flight,medium,2041,212,5,1
F,Flight,low,2377,272,57,1
A,Flight,low,1610,166,5,1
B,Flight,high,1982,176,1,1
C,Flight,low,3555,280,17,1
F,Flight,medium,1922,169,19,1
D,Flight,medium,3627,231,64,1
F,Flight,low,1274,140,5,1
A,Flight,medium,3158,183,44,1
B,Flight,medium,1557,157,28,1
C,Flight,medium,3905,210,28,1
F,Flight,low,2217,227,20,1
D,Flight,medium,3021,250,45,1
F,Flight,high,1947,171,61,1
A,Flight,medium,1285,136,17,1
B,Flight,medium,2579,258,58,1
C,Flight,low,2514,271,14,1
F,Flight,low,2915,197,29,1
D,Flight,low,2999,217,27,1
F,Flight,low,2414,247,9,1
A,Ship,medium,3599,192,46,1
B,Ship,medium,3496,254,6,1
C,Ship,medium,3840,226,65,1
F,Ship,low,2481,197,48,1
D,Ship,medium,2779,203,12,1
F,Ship,medium,3722,196,16,1
A,Ship,low,1217,180,33,1
B,Ship,low,3145,219,54,1
C,Ship,low,3425,266,15,1
F,Ship,low,1082,144,20,1
D,Ship,low,3400,197,12,1
F,Ship,medium,3686,258,4,1
A,Ship,low,2481,187,63,1
B,Ship,low,3332,184,9,1
C,Ship,medium,1615,142,63,1
F,Ship,low,2848,283,50,1
D,Ship,low,3097,221,13,1
F,Ship,low,2010,233,44,1
A,Ship,low,1463,129,58,1
B,Ship,medium,1542,154,43,1
C,Ship,medium,1387,158,63,1
F,Ship,medium,3715,236,9,1
D,Ship,low,2170,257,52,1
F,Ship,medium,1511,160,50,1
A,Ship,low,3198,255,62,1
B,Ship,medium,3124,210,22,1
C,Ship,medium,1290,169,37,1
F,Ship,high,2597,275,1,1
D,Ship,medium,2467,185,47,1
F,Ship,medium,2809,213,54,1
A,Ship,high,1582,179,57,1
B,Ship,low,1235,110,7,1
C,Ship,low,2042,216,41,1
F,Ship,medium,2716,267,37,1
D,Ship,medium,3709,214,1,1
F,Ship,low,2211,196,38,1
A,Ship,low,3127,192,8,1
B,Ship,low,2724,191,4,1
C,Ship,medium,2714,222,57,1
F,Ship,medium,1751,141,10,1
D,Ship,low,2808,242,1,1
F,Ship,high,2733,212,13,1
A,Ship,medium,1648,133,21,1
B,Ship,low,2508,254,35,1
C,Ship,medium,2125,190,2,1
F,Ship,low,2503,185,25,1
D,Ship,medium,3890,191,54,1
F,Ship,medium,1030,158,15,1
A,Ship,low,1333,171,49,1
B,Ship,medium,1085,160,32,1
C,Ship,low,3088,235,21,1
F,Ship,low,2361,247,55,1
D,Ship,medium,1706,152,65,1
F,Ship,medium,1080,138,15,1
A,Ship,high,2971,270,43,1
B,Ship,medium,2952,193,8,1
C,Ship,medium,2336,252,1,1
F,Ship,medium,3976,203,51,1
D,Ship,medium,1677,141,64,1
F,Ship,low,3617,197,20,1
A,Ship,low,1332,142,54,1
B,Ship,low,1048,161,25,1
C,Ship,medium,1283,139,23,1
F,Ship,low,3896,186,17,1
D,Ship,low,2611,190,52,1
F,Ship,low,3981,186,23,1
A,Ship,low,2164,181,29,1
B,Ship,low,1145,111,8,1
C,Ship,medium,1124,159,62,1
F,Ship,medium,2291,205,44,1
D,Ship,high,1775,134,12,1
F,Ship,low,3947,191,4,1
A,Ship,medium,1624,141,28,1
B,Ship,medium,3454,225,31,1
C,Ship,medium,1300,171,24,1
F,Ship,low,2938,286,37,1
D,Ship,low,2713,255,1,1
F,Ship,medium,1538,113,25,1
A,Ship,medium,2488,201,65,1
B,Ship,medium,2823,184,49,1
C,Ship,medium,3346,199,18,1
F,Ship,medium,2267,255,29,1
D,Ship,medium,3456,269,60,1
F,Ship,low,3065,260,23,1
A,Ship,medium,2848,198,44,1
B,Ship,medium,3128,256,10,1
C,Ship,low,1184,140,27,1
F,Ship,medium,1627,165,7,1
D,Ship,low,1274,144,1,1
F,Ship,low,2980,240,53,1
A,Ship,low,3632,183,15,1
B,Ship,low,3757,201,4,1
C,Ship,medium,3255,216,6,1
F,Road,low,2682,218,25,1
D,Road,low,1307,147,2,1
F,Road,medium,3947,264,1,1
A,Road,low,1651,145,43,1
B,Road,low,2751,264,30,1
C,Road,medium,2589,253,43,1
F,Road,low,3986,257,5,1
D,Road,high,2563,202,59,1
F,Road,medium,2225,245,12,1
A,Road,low,1540,162,47,1
B,Road,medium,1512,158,39,1
C,Road,medium,3536,182,40,1
F,Road,medium,3534,218,4,1
D,Road,medium,3563,201,41,1
F,Road,medium,2232,184,38,1
A,Road,medium,3812,241,61,1
B,Road,medium,3238,263,59,1
C,Road,medium,3381,230,36,1
F,Road,low,2356,240,28,1
D,Road,medium,3856,233,43,1
F,Road,medium,2912,237,22,1
A,Road,low,1178,144,59,1
B,Flight,low,1252,167,1,1
C,Flight,low,1708,138,64,1
F,Flight,medium,1429,165,51,1
D,Flight,low,3838,247,19,1
F,Flight,low,1674,152,7,1
A,Flight,low,3473,199,24,1
B,Flight,medium,2206,268,6,1
C,Flight,low,1782,150,30,1
F,Flight,medium,3644,190,47,1
D,Flight,low,1171,153,36,1
F,Flight,low,3410,185,27,1
A,Flight,medium,2098,274,58,1
B,Flight,high,2252,258,11,1
C,Flight,low,1155,110,54,1
F,Flight,low,3559,240,21,1
D,Flight,low,1726,118,6,1
F,Flight,low,3850,243,38,1
A,Flight,low,2057,225,44,1
B,Flight,medium,3179,238,49,1
C,Flight,low,1955,127,16,1
F,Flight,low,1665,166,45,1
D,Flight,low,1414,180,29,1
F,Ship,medium,1941,161,59,1
A,Ship,low,2994,230,43,1
B,Ship,low,1573,167,51,1
C,Ship,low,2693,186,16,1
F,Ship,high,1620,150,9,1
D,Ship,medium,2955,253,37,1
F,Ship,medium,2897,239,59,1
A,Ship,low,1265,294,57,1
B,Ship,low,1758,158,45,1
C,Ship,low,1266,135,20,1
F,Ship,low,1040,238,28,1
D,Ship,low,1656,213,17,1
F,Ship,medium,1918,165,18,1
A,Ship,low,2362,247,16,1
B,Ship,low,1158,152,32,1
C,Ship,low,3443,199,24,1
F,Ship,medium,3716,268,41,1
D,Ship,low,1491,150,51,1
F,Ship,medium,3446,190,24,1
A,Ship,low,1130,153,7,1
B,Ship,low,2080,185,13,1
C,Ship,medium,2905,274,54,1
F,Ship,high,3512,258,5,1
D,Ship,low,1281,110,55,1
F,Ship,low,2683,240,26,1
A,Ship,low,1744,118,2,1
B,Ship,low,3693,243,14,1
C,Ship,low,2052,225,55,1
F,Ship,medium,3537,238,57,1
D,Ship,low,1205,127,5,1
F,Ship,low,1791,166,45,1
A,Ship,low,1228,180,6,1
B,Ship,medium,1457,161,55,1
C,Ship,low,3989,230,39,1
F,Ship,low,1564,167,53,1
D,Ship,low,3851,186,25,1
F,Ship,high,1689,150,32,1
A,Ship,medium,3825,253,11,1
B,Ship,medium,2471,239,15,1
C,Ship,low,1667,294,52,1
F,Ship,low,1595,158,4,1
D,Ship,low,1585,135,26,1
F,Ship,low,1724,238,9,1
A,Ship,low,1904,265,3,1
B,Ship,medium,1725,180,35,1
C,Ship,low,1793,229,43,1
F,Ship,low,1297,176,51,1
D,Ship,medium,1840,172,60,1
F,Ship,medium,1440,100,3,1
A,Ship,low,1459,142,6,1
B,Ship,medium,1095,153,2,1
C,Ship,low,1408,160,56,1
F,Ship,medium,3444,217,16,1
D,Ship,low,3464,273,41,1
F,Ship,low,1187,133,17,1
A,Ship,low,1885,155,54,1
B,Ship,medium,3798,184,2,1
C,Ship,medium,3609,230,43,1
F,Ship,high,3538,254,53,1
D,Ship,medium,1882,108,46,1
F,Ship,low,1367,154,52,1
A,Ship,low,1916,177,1,1
B,Ship,medium,1184,162,65,1
C,Ship,low,2249,285,27,1
F,Ship,low,3620,257,6,1
D,Ship,low,1922,143,48,1
F,Ship,medium,2980,223,29,1
A,Ship,low,3840,230,27,1
B,Ship,medium,2874,241,58,1
C,Ship,medium,1424,156,44,1
F,Ship,low,3436,232,27,1
D,Ship,low,3952,231,55,1
F,Ship,medium,2078,183,52,1
A,Ship,low,2430,240,50,1
B,Ship,medium,2824,218,27,1
C,Ship,low,3830,248,37,1
F,Ship,medium,1980,170,33,1
D,Ship,low,3708,226,11,1
F,Ship,low,2624,232,11,1
A,Ship,low,3460,192,15,1
B,Ship,low,3464,250,11,1
C,Ship,medium,2298,224,48,1
F,Ship,medium,1363,167,42,1
D,Ship,medium,1383,123,11,1
F,Ship,medium,3681,243,4,1
A,Ship,low,2732,233,45,1
B,Ship,high,3340,201,36,1
C,Ship,medium,2832,230,18,1
F,Ship,low,2996,271,59,1
D,Ship,medium,1445,159,13,1
F,Ship,low,3375,249,55,1
A,Ship,medium,1212,137,17,1
B,Ship,medium,3813,225,8,1
C,Road,low,2211,226,28,1
F,Road,low,1141,174,49,1
D,Road,low,3118,264,27,1
F,Road,medium,1930,151,6,1
A,Road,low,1321,180,65,1
B,Road,medium,1080,149,37,1
C,Road,low,3181,209,20,1
F,Road,low,2385,219,10,1
D,Road,low,1880,164,28,1
F,Road,medium,3040,268,3,1
A,Road,medium,2513,204,35,1
B,Road,medium,2626,226,23,1
C,Road,low,1101,105,1,1
F,Road,low,1183,153,10,1
D,Road,medium,2339,192,5,1
F,Road,low,2607,199,28,1
A,Road,medium,1204,156,39,1
B,Road,low,1853,180,53,1
C,Road,medium,1650,162,62,1
F,Road,low,3912,284,9,1
D,Road,high,3269,271,33,1
F,Road,medium,2195,269,38,1
A,Flight,low,1740,135,11,1
B,Flight,low,2075,200,2,1
C,Flight,medium,2016,206,23,1
F,Flight,low,3518,229,32,1
D,Flight,low,3393,267,48,1
F,Flight,medium,1471,135,64,1
A,Flight,medium,2381,259,15,1
B,Flight,medium,3622,223,30,1
C,Flight,low,2534,245,20,1
F,Flight,low,2637,207,20,1
D,Flight,medium,1304,171,62,1
F,Flight,low,1891,130,27,1
A,Flight,medium,3922,241,60,1
B,Flight,low,3678,261,33,1
C,Flight,medium,3595,182,34,1
F,Flight,high,3768,270,29,1
D,Flight,medium,1969,157,26,1
F,Flight,low,1989,172,33,1
A,Flight,medium,2910,205,2,1
B,Flight,medium,3622,268,7,1
C,Flight,medium,1517,156,1,1
F,Flight,low,3372,202,4,1
D,Ship,low,3277,249,43,1
F,Ship,medium,1801,141,41,1
A,Ship,medium,3646,230,28,1
B,Ship,medium,3844,229,59,1
C,Ship,low,1606,146,25,1
F,Ship,low,1659,162,26,1
D,Ship,low,3743,241,39,1
F,Ship,low,2163,271,14,1
A,Ship,high,1117,166,31,1
B,Ship,medium,1075,171,28,1
C,Ship,low,1021,169,20,1
F,Ship,low,1611,137,47,1
D,Ship,low,3654,211,56,1
F,Ship,medium,1114,171,2,1
A,Ship,medium,1461,142,2,1
B,Ship,medium,2972,184,10,1
C,Ship,high,1216,111,28,1
F,Ship,low,3416,278,34,1
D,Ship,medium,1495,160,41,1
F,Ship,medium,3976,212,56,1
A,Ship,low,1051,175,59,1
B,Ship,medium,2632,251,46,1
C,Ship,low,3231,205,15,1
F,Ship,low,1536,163,54,1
D,Ship,low,2030,272,27,1
F,Ship,medium,1818,134,37,1
A,Ship,medium,2583,259,63,1
B,Ship,medium,3945,246,45,1
C,Ship,medium,3099,211,44,1
F,Ship,medium,3595,190,6,1
D,Ship,medium,2648,233,44,1
F,Ship,high,2553,199,20,1
A,Ship,high,2028,191,52,1
B,Ship,low,1731,148,30,1
C,Ship,medium,1772,177,41,1
F,Ship,low,1629,171,1,1
D,Ship,medium,3761,237,57,1
F,Ship,medium,3307,265,47,1
A,Ship,medium,1387,136,19,1
B,Ship,high,1851,145,25,1
C,Ship,low,2241,238,3,1
F,Ship,medium,3666,210,14,1
D,Ship,low,1277,159,38,1
F,Ship,medium,3300,232,26,1
A,Ship,low,1337,174,4,1
B,Ship,medium,1458,129,35,1
C,Ship,medium,2299,201,7,1
F,Ship,low,1145,151,12,1
D,Ship,low,2800,252,12,1
F,Ship,medium,1218,156,58,1
A,Ship,low,3899,215,13,1
B,Ship,low,1402,153,13,1
C,Ship,low,3494,261,25,1
F,Ship,medium,2606,263,61,1
D,Ship,medium,1082,153,35,1
F,Ship,high,1815,137,28,1
A,Ship,low,3737,270,31,1
B,Ship,low,1884,167,62,1
C,Ship,low,1630,143,64,1
F,Ship,low,2033,214,31,1
D,Ship,medium,3751,182,14,1
F,Ship,high,2701,234,4,1
A,Ship,medium,2239,181,59,1
B,Ship,low,1558,162,34,1
C,Ship,medium,3565,185,31,1
F,Ship,medium,3351,199,4,1
D,Ship,medium,2803,272,49,1
F,Ship,low,3036,252,11,1
A,Ship,low,1127,156,2,1
B,Ship,medium,1220,173,63,1
C,Ship,medium,1322,148,38,1
F,Ship,medium,1207,158,27,1
D,Ship,low,3352,261,62,1
F,Ship,medium,1707,105,54,1
A,Ship,high,3364,193,57,1
B,Ship,low,2446,198,49,1
C,Ship,medium,3121,213,42,1
F,Ship,low,3073,244,59,1
D,Ship,high,2806,241,61,1
F,Ship,low,3909,278,4,1
A,Ship,low,1126,145,1,1
B,Ship,high,1175,140,58,1
C,Ship,medium,3026,209,37,1
F,Ship,medium,2204,233,35,1
